r-cran-vctrs	0.7.3-2
r-cran-waldo	0.6.2-1
r-cran-whisker	0.4.1-2
r-cran-withr	3.0.3+dfsg-1
r-cran-xfun	0.60+dfsg-1
r-cran-xml2	1.6.0-1
r-cran-xopen	1.0.1+dfsg-2
r-cran-xtable	1:1.8-8-1
r-cran-yaml	2.3.12-2
r-cran-zip	3.0.2-1
r-pkg-team-core-architecture	20260707
r-recommended	4.6.1-1
readline-common	8.3-4
rpcsvc-proto	1.4.4-1
sed	4.9-3
sensible-utils	0.0.26
sqv	1.3.0-5+b2
sysvinit-utils	3.18-1
tar	1.35+dfsg-4
tzdata	2026b-1
ucf	3.0053
unzip	6.0-29
util-linux	2.42.1-3
vim-common	2:9.2.0524-1
vim-tiny	2:9.2.0524-1
wget	1.25.0-2
x11-common	1:7.7+26
xauth	1:1.1.2-1.1
xdg-utils	1.2.1-2
xz-utils	5.8.3-1
zip	3.0-15
zlib1g:amd64	1:1.3.dfsg+really1.3.2-3
zlib1g-dev:amd64	1:1.3.dfsg+really1.3.2-3
