decision invariants: n=20000 seed=27
16800/20000 trials; elapsed 115.8s; pairs 57853; projected certificates 48768
16900/20000 trials; elapsed 116.4s; pairs 58089; projected certificates 48955
17000/20000 trials; elapsed 117.1s; pairs 58270; projected certificates 49154
17100/20000 trials; elapsed 117.8s; pairs 58754; projected certificates 49479
17200/20000 trials; elapsed 118.4s; pairs 59013; projected certificates 49709
17300/20000 trials; elapsed 119.1s; pairs 59635; projected certificates 50068
17400/20000 trials; elapsed 119.7s; pairs 59915; projected certificates 50312
17500/20000 trials; elapsed 120.5s; pairs 60354; projected certificates 50629
17600/20000 trials; elapsed 121.3s; pairs 60852; projected certificates 51226
17700/20000 trials; elapsed 122.0s; pairs 61154; projected certificates 51458
17800/20000 trials; elapsed 122.6s; pairs 61410; projected certificates 51660
17900/20000 trials; elapsed 123.4s; pairs 62009; projected certificates 52518
18000/20000 trials; elapsed 124.0s; pairs 62197; projected certificates 52624
18100/20000 trials; elapsed 124.8s; pairs 62552; projected certificates 52941
18200/20000 trials; elapsed 125.6s; pairs 63087; projected certificates 53527
18300/20000 trials; elapsed 126.3s; pairs 63398; projected certificates 53728
18400/20000 trials; elapsed 127.0s; pairs 63731; projected certificates 54085
18500/20000 trials; elapsed 127.7s; pairs 64312; projected certificates 54559
18600/20000 trials; elapsed 128.5s; pairs 64652; projected certificates 54748
18700/20000 trials; elapsed 129.1s; pairs 64882; projected certificates 54959
18800/20000 trials; elapsed 129.8s; pairs 65190; projected certificates 55157
18900/20000 trials; elapsed 130.7s; pairs 65447; projected certificates 55420
19000/20000 trials; elapsed 131.2s; pairs 65592; projected certificates 55567
19100/20000 trials; elapsed 132.0s; pairs 65901; projected certificates 55820
19200/20000 trials; elapsed 132.7s; pairs 66403; projected certificates 56126
19300/20000 trials; elapsed 133.4s; pairs 66843; projected certificates 56459
19400/20000 trials; elapsed 134.0s; pairs 67050; projected certificates 56619
19500/20000 trials; elapsed 134.7s; pairs 67367; projected certificates 56781
19600/20000 trials; elapsed 135.4s; pairs 67963; projected certificates 57310
19700/20000 trials; elapsed 136.1s; pairs 68569; projected certificates 57738
19800/20000 trials; elapsed 136.9s; pairs 68983; projected certificates 58156
19900/20000 trials; elapsed 138.0s; pairs 69634; projected certificates 58689
20000/20000 trials; elapsed 138.8s; pairs 70286; projected certificates 59272
$enter_on_updated_subset_relations
[1] 23374

$equivalence_checks
[1] 435330

$projected_certificates
[1] 59272

$pair_checks
[1] 70286

$enter_eliminate_clause_update_sr
[1] 27129

$enter_register_unit
[1] 68016

$outermost_unit_postconditions
[1] 59250

$enter_apply_domain_restriction
[1] 62435

$enter_eliminate_symbol_from_clause
[1] 19716

$enter_handle_sse_2nd_order_twoend
[1] 6906

$enter_try_sse_2nd_order
[1] 9855

$matrix_skips
[1] 444

$nested_same_symbol_register_exit
[1] 81

$enter_handle_sse_2nd_order_oneend
[1] 143

$enter_on_update_range
[1] 91
