"id","kind","line","expression","evaluations"
175,"if",325,"if (!second_order_enabled) return(FALSE)",5749
176,"if",327,"if (!second_order_enabled_matrix[meta_idx, meta_idx_other]) return(FALSE)",418
177,"[",327,"second_order_enabled_matrix[meta_idx, meta_idx_other]",418
178,"[[",328,"available[[meta_idx]]",278
179,"if",329,"if (eliminated[[clause_idx]] || is_unit[[clause_idx]]) return(FALSE)",278
180,"||",329,"eliminated[[clause_idx]] || is_unit[[clause_idx]]",556
181,"[[",329,"eliminated[[clause_idx]]",278
182,"[[",329,"is_unit[[clause_idx]]",278
183,"if",331,"if (identical(hs2oo, TRUE)) return(TRUE)",278
184,"[[",332,"available[[meta_idx_other]]",278
185,"if",333,"if (eliminated[[clause_other]] || is_unit[[clause_other]]) return(NULL)",278
186,"||",333,"eliminated[[clause_other]] || is_unit[[clause_other]]",556
187,"[[",333,"eliminated[[clause_other]]",278
188,"[[",333,"is_unit[[clause_other]]",278
189,"[[",348,"is_not_subset_of[[meta_idx]]",219
190,"[",349,"is_not_subset_of[[meta_idx]][, inso_symbol_col]",219
191,"[[",349,"is_not_subset_of[[meta_idx]]",219
192,"[",349,"eliminated[available]",219
193,"[",349,"is_unit[available]",219
194,"[",349,"not_subset_count[meta_idx, ]",219
195,"[",351,"potential_targets[not_subset_count[meta_idx, potential_targets] == 1L]",219
196,"[",351,"not_subset_count[meta_idx, potential_targets]",219
197,"if",354,"if (!second_order_enabled_matrix[meta_idx, meta_idx_target]) next",77
198,"[",354,"second_order_enabled_matrix[meta_idx, meta_idx_target]",77
199,"if",356,"if (is.null(hs2oo)) return(NULL)",75
200,"if",357,"if (hs2oo) return(TRUE)",72
201,"[",359,"potential_targets[not_subset_count[meta_idx, potential_targets] == 2L]",216
202,"[",359,"not_subset_count[meta_idx, potential_targets]",216
203,"if",361,"if (!second_order_enabled_matrix[meta_idx, meta_idx_target]) next",397
204,"[",361,"second_order_enabled_matrix[meta_idx, meta_idx_target]",397
205,"if",363,"if (is.null(hs2oo)) return(NULL)",190
206,"if",364,"if (hs2oo) return(TRUE)",190
207,"[[",374,"is_not_subset_of[[meta_idx]]",353
208,"[[",375,"available[[meta_idx]]",353
209,"[[",376,"symbol_registry[[symbol]]",353
210,"[",377,"available_inverse[symbol_clauses]",353
211,"[[",379,"available[[meta_idx_target]]",353
212,"if",381,"if (eliminated[[clause_idx_target]] || is_unit[[clause_idx_target]]) return(FALSE)",353
213,"||",381,"eliminated[[clause_idx_target]] || is_unit[[clause_idx_target]]",706
214,"[[",381,"eliminated[[clause_idx_target]]",353
215,"[[",381,"is_unit[[clause_idx_target]]",353
216,"[",382,"symbol_clauses_meta[not_subset_count[symbol_clauses_meta, meta_idx_target] == 2L]",353
217,"[",382,"not_subset_count[symbol_clauses_meta, meta_idx_target]",353
218,"[",383,"twoends[!is.na(twoends)]",353
219,"if",386,"if (not_subset_count[meta_idx, meta_idx_target] != 1L || !is_not_subset_of[[meta_idx]][meta_idx_target, inso_symbol_col]) break",590
220,"||",386,"not_subset_count[meta_idx, meta_idx_target] != 1L || !is_not_subset_of[[meta_idx]][meta_idx_target, inso_symbol_col]",1180
221,"[",386,"not_subset_count[meta_idx, meta_idx_target]",590
222,"[",386,"is_not_subset_of[[meta_idx]][meta_idx_target, inso_symbol_col]",590
223,"[[",386,"is_not_subset_of[[meta_idx]]",590
224,"[[",387,"available[[meta_idx_twoend]]",590
225,"if",390,"if (eliminated[[clause_idx_twoend]] || is_unit[[clause_idx_twoend]] || not_subset_count[meta_idx_twoend, meta_idx_target] != 2L) {     next }",590
226,"||",390,"eliminated[[clause_idx_twoend]] || is_unit[[clause_idx_twoend]] || not_subset_count[meta_idx_twoend, meta_idx_target] != 2L",1180
227,"||",390,"eliminated[[clause_idx_twoend]] || is_unit[[clause_idx_twoend]]",1180
228,"[[",390,"eliminated[[clause_idx_twoend]]",590
229,"[[",390,"is_unit[[clause_idx_twoend]]",590
230,"[",391,"not_subset_count[meta_idx_twoend, meta_idx_target]",590
231,"[",394,"colnames(is_not_subset_of[[meta_idx_twoend]])[is_not_subset_of[[meta_idx_twoend]][meta_idx_target, ]]",585
232,"[[",394,"is_not_subset_of[[meta_idx_twoend]]",585
233,"[",394,"is_not_subset_of[[meta_idx_twoend]][meta_idx_target, ]",585
234,"[[",394,"is_not_subset_of[[meta_idx_twoend]]",585
235,"[",395,"symbol_target[symbol_target != symbol]",585
236,"if",396,"if (length(symbol_target) != 1L) next",585
237,"if",397,"if (!symbol_target %in% names(entries[[clause_idx_target]])) next",576
238,"[[",397,"entries[[clause_idx_target]]",576
239,"if",400,"if (identical(ts2o, TRUE)) return(TRUE)",288
240,"if",401,"if (eliminated[[clause_idx]] || is_unit[[clause_idx]]) return(NULL)",288
241,"||",401,"eliminated[[clause_idx]] || is_unit[[clause_idx]]",571
242,"[[",401,"eliminated[[clause_idx]]",288
243,"[[",401,"is_unit[[clause_idx]]",283
244,"if",402,"if (is.null(ts2o)) return(FALSE)",283
245,"[[",408,"available[[meta_idx]]",9868
246,"[[",410,"available[[meta_idx_target]]",9868
247,"if",412,"if (eliminated[[clause_idx_target]] || is_unit[[clause_idx_target]] || not_subset_count[meta_idx, meta_idx_target] != 2) return(FALSE)",9868
248,"||",412,"eliminated[[clause_idx_target]] || is_unit[[clause_idx_target]] || not_subset_count[meta_idx, meta_idx_target] != 2",19736
249,"||",412,"eliminated[[clause_idx_target]] || is_unit[[clause_idx_target]]",19736
250,"[[",412,"eliminated[[clause_idx_target]]",9868
251,"[[",412,"is_unit[[clause_idx_target]]",9868
252,"[",412,"not_subset_count[meta_idx, meta_idx_target]",9868
253,"[",413,"is_not_subset_of[[meta_idx]][meta_idx_target, ]",9868
254,"[[",413,"is_not_subset_of[[meta_idx]]",9868
255,"[",414,"colnames(is_not_subset_of[[meta_idx]])[inso_symbols_cols]",9868
256,"[[",414,"is_not_subset_of[[meta_idx]]",9868
257,"if",415,"if (!is.null(symbol) && !symbol %in% symbols_twoend) return(FALSE)",9868
258,"&&",415,"!is.null(symbol) && !symbol %in% symbols_twoend",10058
259,"[[",417,"symbols_twoend[[symbol_inner_idx]]",19716
260,"[[",418,"symbols_twoend[[3 - symbol_inner_idx]]",19716
261,"if",420,"if (!symbol_other %in% names(entries[[clause_idx_target]])) next",19716
262,"[[",420,"entries[[clause_idx_target]]",19716
263,"[",421,"available_inverse[symbol_registry[[symbol_inner]]]",9926
264,"[[",421,"symbol_registry[[symbol_inner]]",9926
265,"[",424,"symbol_inner_clauses_meta[not_subset_count[symbol_inner_clauses_meta, meta_idx_target] <= 2L]",9926
266,"[",424,"not_subset_count[symbol_inner_clauses_meta, meta_idx_target]",9926
267,"[",425,"oneends[!is.na(oneends)]",9926
268,"if",427,"if (not_subset_count[meta_idx, meta_idx_target] != 2 || !all(is_not_subset_of[[meta_idx]][meta_idx_target, inso_symbols_cols])) break",24349
269,"||",427,"not_subset_count[meta_idx, meta_idx_target] != 2 || !all(is_not_subset_of[[meta_idx]][meta_idx_target, inso_symbols_cols])",48698
270,"[",427,"not_subset_count[meta_idx, meta_idx_target]",24349
271,"[",427,"is_not_subset_of[[meta_idx]][meta_idx_target, inso_symbols_cols]",24349
272,"[[",427,"is_not_subset_of[[meta_idx]]",24349
273,"[[",430,"available[[meta_idx_oneend]]",24349
274,"if",431,"if (eliminated[[clause_idx_oneend]] || is_unit[[clause_idx_oneend]]) next",24349
275,"||",431,"eliminated[[clause_idx_oneend]] || is_unit[[clause_idx_oneend]]",48697
276,"[[",431,"eliminated[[clause_idx_oneend]]",24349
277,"[[",431,"is_unit[[clause_idx_oneend]]",24348
278,"[[",436,"is_not_subset_of[[meta_idx_oneend]]",24348
279,"if",437,"if (not_subset_count[meta_idx_oneend, meta_idx_target] != sum(is_not_subset_of[[meta_idx_oneend]][meta_idx_target, symbols_twoend_idx])) {     next }",24348
280,"[",437,"not_subset_count[meta_idx_oneend, meta_idx_target]",24348
281,"[",437,"is_not_subset_of[[meta_idx_oneend]][meta_idx_target, symbols_twoend_idx]",24348
282,"[[",437,"is_not_subset_of[[meta_idx_oneend]]",24348
283,"if",440,"if (!symbol_other %in% names(entries[[clause_idx_target]])) next",14203
284,"[[",440,"entries[[clause_idx_target]]",14203
285,"if",442,"if (identical(ts2o, TRUE)) return(TRUE)",14096
286,"if",443,"if (eliminated[[clause_idx]] || is_unit[[clause_idx]]) return(NULL)",14096
287,"||",443,"eliminated[[clause_idx]] || is_unit[[clause_idx]]",28185
288,"[[",443,"eliminated[[clause_idx]]",14096
289,"[[",443,"is_unit[[clause_idx]]",14089
290,"if",444,"if (is.null(ts2o)) return(FALSE)",14086
291,"if",453,"if (!all(is_not_subset_of[[meta_idx_target]][c(meta_idx_oneend, meta_idx_twoends), symbol_target])) return(FALSE)",14384
292,"[",453,"is_not_subset_of[[meta_idx_target]][c(meta_idx_oneend, meta_idx_twoends), symbol_target]",14384
293,"[[",453,"is_not_subset_of[[meta_idx_target]]",14384
294,"[[",454,"available[[meta_idx_oneend]]",9931
295,"[[",455,"available[[meta_idx_twoends]]",9931
296,"[[",456,"available[[meta_idx_target]]",9931
297,"[[",458,"entries[[idx_oneend]]",9931
298,"[[",459,"entries[[idx_twoends]]",9931
299,"[[",462,"clause_oneend[[symbol_intersect]]",9931
300,"if",463,"if (any(clause_oneend_symbol_intersect %in% clause_twoends[[symbol_intersect]] & !clause_oneend_symbol_intersect %in% entries[[idx_target]][[symbol_intersect]])) {     return(FALSE) }",9931
301,"[[",463,"clause_twoends[[symbol_intersect]]",9931
302,"[[",464,"entries[[idx_target]][[symbol_intersect]]",9931
303,"[[",464,"entries[[idx_target]]",9931
304,"[[",467,"clause_oneend[[symbol_target]]",441
305,"[[",467,"clause_twoends[[symbol_target]]",441
306,"if",473,"if (is_unit[[clause_idx]]) stop(""Bug in the code, this should never happen."")",6418
307,"[[",473,"is_unit[[clause_idx]]",6418
308,"[[",474,"eliminated[[clause_idx]]",6418
309,"[[",475,"entries[[clause_idx]]",6418
310,"[[",476,"symbol_registry[[s]]",20865
311,"[[",477,"symbol_registry[[s]]",20865
312,"[",477,"sr[sr != clause_idx]",20865
313,"if",487,"if (register_unit(unit_idx)) return(return_entries(FALSE))",7606
314,"if",491,"if (length(unit_queue) == length(entries)) return(return_entries(entries[!eliminated]))",2699
315,"[",491,"entries[!eliminated]",118
316,"[[",502,"entries[[clause_idx]]",13859
317,"[[",506,"unit_domains[[symbol]]",14156
318,"if",507,"if (is.null(adr)) break",14156
319,"if",508,"if (adr) return(return_entries(FALSE))",7554
320,"if",511,"if (eliminated[[clause_idx]] || is_unit[[clause_idx]]) next",13537
321,"||",511,"eliminated[[clause_idx]] || is_unit[[clause_idx]]",21360
322,"[[",511,"eliminated[[clause_idx]]",13537
323,"[[",511,"is_unit[[clause_idx]]",7823
324,"[[",515,"entries[[clause_idx]]",6935
325,"[[",516,"symbol_registry[[symbol]]",21301
326,"if",517,"if (is.null(sr_entry)) {     symbol_registry[[symbol]] = clause_idx } else {     symbol_registry[[symbol]][[length(sr_entry) + 1L]] = clause_idx }",21301
327,"[[",518,"symbol_registry[[symbol]]",6345
328,"[[",520,"symbol_registry[[symbol]][[length(sr_entry) + 1L]]",14956
329,"[[",520,"symbol_registry[[symbol]]",14956
330,"[[",552,"available[[meta_idx_outer]]",6700
331,"if",553,"if (eliminated[[clause_idx]] || is_unit[[clause_idx]]) next",6700
332,"||",553,"eliminated[[clause_idx]] || is_unit[[clause_idx]]",13287
333,"[[",553,"eliminated[[clause_idx]]",6700
334,"[[",553,"is_unit[[clause_idx]]",6587
335,"[[",554,"entries[[clause_idx]]",6552
336,"[[",561,"is_not_subset_of[[meta_idx_outer]]",6552
337,"[",569,"is_not_subset_of[[meta_idx_outer]][meta_idx_outer, ]",6552
338,"[[",569,"is_not_subset_of[[meta_idx_outer]]",6552
339,"[[",573,"entries[[clause_idx]]",15579
340,"[[",574,"available[[meta_idx_inner]]",15579
341,"if",575,"if (eliminated[[clause_idx_inner]] || is_unit[[clause_idx_inner]]) next",15579
342,"||",575,"eliminated[[clause_idx_inner]] || is_unit[[clause_idx_inner]]",29958
343,"[[",575,"eliminated[[clause_idx_inner]]",15579
344,"[[",575,"is_unit[[clause_idx_inner]]",14379
345,"[[",576,"entries[[clause_idx_inner]]",14176
346,"[[",588,"sci_sc_map[[symbol_idx_inner]]",28008
347,"[[",589,"sci[[symbol_idx_inner]]",28008
348,"[[",591,"clause_inner[[symbol_idx_inner]]",28008
349,"[[",592,"clause[[symbol_idx_outer]]",28008
